Id Commande,Date Commande,Id Client,Id Magasin,Statut Commande,Total HT Commande,Id Produit,Quantite,Prix Unitaire,Taux Remise,Sous-Total Produit,Id Facture,Date Comptable,Montant Facture TTC,Statut Paiement Facture
CMD000023,2024-05-02,C00848,S001,Annulée,1835.01,P00050,1,64.93,0.0,64.93,,,,
CMD000025,2024-07-14,C00664,S002,Livrée,1175.51,P00098,11,112.61,10.0,1114.84,F000025,2024-07-15,1410.61,Payée
CMD000025,2024-07-14,C00664,S002,Livrée,1175.51,P00039,1,60.67,0.0,60.67,F000025,2024-07-15,1410.61,Payée
CMD000026,2024-04-03,C01110,S003,Annulée,154.47,P00128,5,21.33,0.0,106.65,,,,
CMD000026,2024-04-03,C01110,S003,Annulée,154.47,P00089,1,47.82,0.0,47.82,,,,
CMD000027,2025-10-08,C01164,S005,Annulée,35.4,P00136,2,17.7,0.0,35.4,,,,
CMD000030,2024-07-15,C00606,S004,Annulée,370.12,P00030,4,92.53,0.0,370.12,,,,
CMD000031,2024-04-12,C00465,S004,Annulée,916.96,P00066,7,117.56,10.0,740.63,,,,
CMD000031,2024-04-12,C00465,S004,Annulée,916.96,P00018,8,5.64,10.0,40.61,,,,
CMD000031,2024-04-12,C00465,S004,Annulée,916.96,P00111,1,135.72,0.0,135.72,,,,
CMD000032,2025-06-13,C00863,S005,Livrée,680.76,P00073,8,94.55,10.0,680.76,F000032,2025-06-14,816.91,Payée
CMD000034,2025-07-18,C00127,S004,Livrée,954.14,P00054,3,118.99,0.0,356.97,F000034,2025-07-19,1144.97,Payée
CMD000034,2025-07-18,C00127,S004,Livrée,954.14,P00057,8,82.94,10.0,597.17,F000034,2025-07-19,1144.97,Payée
CMD000036,2025-09-09,C00733,S004,Livrée,2053.62,P00129,4,77.2,0.0,308.8,F000036,2025-09-10,2464.34,Payée
CMD000036,2025-09-09,C00733,S004,Livrée,2053.62,P00005,8,124.98,10.0,899.86,F000036,2025-09-10,2464.34,Payée
CMD000036,2025-09-09,C00733,S004,Livrée,2053.62,P00103,7,78.07,10.0,491.84,F000036,2025-09-10,2464.34,Payée
CMD000036,2025-09-09,C00733,S004,Livrée,2053.62,P00120,9,30.83,10.0,249.72,F000036,2025-09-10,2464.34,Payée
CMD000036,2025-09-09,C00733,S004,Livrée,2053.62,P00009,1,103.4,0.0,103.4,F000036,2025-09-10,2464.34,Payée
CMD000040,2024-05-27,C00751,S002,Annulée,3133.97,P00044,9,143.68,10.0,1163.81,,,,
CMD000040,2024-05-27,C00751,S002,Annulée,3133.97,P00040,5,107.5,0.0,537.5,,,,
CMD000040,2024-05-27,C00751,S002,Annulée,3133.97,P00009,2,103.4,0.0,206.8,,,,
CMD000040,2024-05-27,C00751,S002,Annulée,3133.97,P00027,3,110.0,0.0,330.0,,,,
CMD000040,2024-05-27,C00751,S002,Annulée,3133.97,P00112,10,99.54,10.0,895.86,,,,
CMD000041,2025-01-09,C00258,S003,Livrée,1865.53,P00029,4,59.45,0.0,237.8,F000041,2025-01-10,2238.63,Payée
CMD000041,2025-01-09,C00258,S003,Livrée,1865.53,P00071,12,36.96,10.0,399.17,F000041,2025-01-10,2238.63,Payée
CMD000041,2025-01-09,C00258,S003,Livrée,1865.53,P00111,5,135.72,0.0,678.6,F000041,2025-01-10,2238.63,Payée
CMD000041,2025-01-09,C00258,S003,Livrée,1865.53,P00099,2,82.8,0.0,165.6,F000041,2025-01-10,2238.63,Payée
CMD000041,2025-01-09,C00258,S003,Livrée,1865.53,P00080,4,96.09,0.0,384.36,F000041,2025-01-10,2238.63,Payée
CMD000042,2025-03-27,C01068,S004,Annulée,547.78,P00117,2,99.71,0.0,199.42,,,,
CMD000042,2025-03-27,C01068,S004,Annulée,547.78,P00057,3,82.94,0.0,248.82,,,,
CMD000042,2025-03-27,C01068,S004,Annulée,547.78,P00112,1,99.54,0.0,99.54,,,,
CMD000043,2024-11-25,C00924,S002,En cours,837.96,P00083,4,58.57,0.0,234.28,,,,
CMD000043,2024-11-25,C00924,S002,En cours,837.96,P00067,6,12.84,10.0,69.34,,,,
CMD000043,2024-11-25,C00924,S002,En cours,837.96,P00034,8,11.9,10.0,85.68,,,,
CMD000043,2024-11-25,C00924,S002,En cours,837.96,P00012,6,39.87,10.0,215.3,,,,
CMD000043,2024-11-25,C00924,S002,En cours,837.96,P00048,10,25.93,10.0,233.37,,,,
CMD000045,2024-05-08,C01051,S003,Livrée,2227.86,P00141,2,146.29,0.0,292.58,F000045,2024-05-09,2673.44,Payée
CMD000045,2024-05-08,C01051,S003,Livrée,2227.86,P00132,1,13.63,0.0,13.63,F000045,2024-05-09,2673.44,Payée
CMD000045,2024-05-08,C01051,S003,Livrée,2227.86,P00043,12,132.39,10.0,1429.81,F000045,2024-05-09,2673.44,Payée
CMD000045,2024-05-08,C01051,S003,Livrée,2227.86,P00103,7,78.07,10.0,491.84,F000045,2024-05-09,2673.44,Payée
CMD000046,2024-04-29,C00700,S003,Livrée,807.71,P00026,10,50.55,10.0,454.95,F000046,2024-04-30,969.25,Payée
CMD000046,2024-04-29,C00700,S003,Livrée,807.71,P00104,4,88.19,0.0,352.76,F000046,2024-04-30,969.25,Payée
CMD000048,2024-02-03,C00273,S001,Annulée,162.47,P00034,2,11.9,0.0,23.8,,,,
CMD000048,2024-02-03,C00273,S001,Annulée,162.47,P00067,12,12.84,10.0,138.67,,,,
CMD000049,2025-02-11,C01193,S005,Livrée,1673.53,P00031,5,98.34,0.0,491.7,F000049,2025-02-12,2008.23,Payée
CMD000049,2025-02-11,C01193,S005,Livrée,1673.53,P00046,10,67.89,10.0,611.01,F000049,2025-02-12,2008.23,Payée
CMD000049,2025-02-11,C01193,S005,Livrée,1673.53,P00011,8,79.28,10.0,570.82,F000049,2025-02-12,2008.23,Payée
CMD000050,2024-12-23,C00373,S002,Livrée,1429.02,P00063,6,70.16,10.0,378.86,F000050,2024-12-24,1714.82,Payée
CMD000050,2024-12-23,C00373,S002,Livrée,1429.02,P00126,6,136.31,10.0,736.07,F000050,2024-12-24,1714.82,Payée
CMD000050,2024-12-23,C00373,S002,Livrée,1429.02,P00139,4,78.52,0.0,314.08,F000050,2024-12-24,1714.82,Payée
CMD000055,2025-10-07,C00610,S003,Livrée,2925.66,P00116,5,107.65,0.0,538.25,F000055,2025-10-08,3510.8,Payée
CMD000055,2025-10-07,C00610,S003,Livrée,2925.66,P00022,1,70.97,0.0,70.97,F000055,2025-10-08,3510.8,Payée
CMD000055,2025-10-07,C00610,S003,Livrée,2925.66,P00150,12,122.36,10.0,1321.49,F000055,2025-10-08,3510.8,Payée
CMD000055,2025-10-07,C00610,S003,Livrée,2925.66,P00102,4,92.69,0.0,370.76,F000055,2025-10-08,3510.8,Payée
CMD000055,2025-10-07,C00610,S003,Livrée,2925.66,P00113,11,63.05,10.0,624.19,F000055,2025-10-08,3510.8,Payée
CMD000057,2025-05-18,C00085,S002,Annulée,1757.36,P00031,1,98.34,0.0,98.34,,,,
CMD000057,2025-05-18,C00085,S002,Annulée,1757.36,P00005,12,124.98,10.0,1349.78,,,,
CMD000057,2025-05-18,C00085,S002,Annulée,1757.36,P00124,4,77.31,0.0,309.24,,,,
CMD000059,2024-01-16,C00115,S001,Annulée,653.75,P00053,7,103.77,10.0,653.75,,,,
CMD000060,2025-02-06,C00144,S001,Annulée,3308.49,P00015,11,133.92,10.0,1325.81,,,,
CMD000060,2025-02-06,C00144,S001,Annulée,3308.49,P00010,7,99.15,10.0,624.65,,,,
CMD000060,2025-02-06,C00144,S001,Annulée,3308.49,P00021,3,79.48,0.0,238.44,,,,
CMD000060,2025-02-06,C00144,S001,Annulée,3308.49,P00134,10,7.87,10.0,70.83,,,,
CMD000060,2025-02-06,C00144,S001,Annulée,3308.49,P00144,10,116.53,10.0,1048.77,,,,
CMD000061,2024-08-27,C00620,S001,Livrée,141.79,P00138,10,7.74,10.0,69.66,F000061,2024-08-28,170.15,Payée
CMD000061,2024-08-27,C00620,S001,Livrée,141.79,P00134,1,7.87,0.0,7.87,F000061,2024-08-28,170.15,Payée
CMD000061,2024-08-27,C00620,S001,Livrée,141.79,P00034,6,11.9,10.0,64.26,F000061,2024-08-28,170.15,Payée
CMD000062,2025-10-16,C00023,S004,En cours,586.98,P00036,9,8.85,10.0,71.68,,,,
CMD000062,2025-10-16,C00023,S004,En cours,586.98,P00022,7,70.97,10.0,447.11,,,,
CMD000062,2025-10-16,C00023,S004,En cours,586.98,P00056,2,34.09,0.0,68.18,,,,
CMD000065,2025-04-28,C00021,S001,Annulée,2125.87,P00127,6,72.29,10.0,390.37,,,,
CMD000065,2025-04-28,C00021,S001,Annulée,2125.87,P00127,12,72.29,10.0,780.73,,,,
CMD000065,2025-04-28,C00021,S001,Annulée,2125.87,P00034,9,11.9,10.0,96.39,,,,
CMD000065,2025-04-28,C00021,S001,Annulée,2125.87,P00021,12,79.48,10.0,858.38,,,,
CMD000066,2024-09-12,C00751,S002,En cours,403.54,P00056,3,34.09,0.0,102.27,,,,
CMD000066,2024-09-12,C00751,S002,En cours,403.54,P00089,7,47.82,10.0,301.27,,,,
CMD000067,2024-11-05,C00197,S001,Livrée,926.73,P00038,12,56.86,10.0,614.09,F000067,2024-11-06,1112.07,Payée
CMD000067,2024-11-05,C00197,S001,Livrée,926.73,P00107,4,46.03,0.0,184.12,F000067,2024-11-06,1112.07,Payée
CMD000067,2024-11-05,C00197,S001,Livrée,926.73,P00034,12,11.9,10.0,128.52,F000067,2024-11-06,1112.07,Payée
CMD000069,2024-12-21,C00785,S001,Livrée,1266.62,P00150,7,122.36,10.0,770.87,F000069,2024-12-22,1519.94,Payée
CMD000069,2024-12-21,C00785,S001,Livrée,1266.62,P00010,5,99.15,0.0,495.75,F000069,2024-12-22,1519.94,Payée
CMD000071,2024-01-21,C01054,S005,En cours,1975.83,P00147,1,88.99,0.0,88.99,,,,
CMD000071,2024-01-21,C01054,S005,En cours,1975.83,P00047,12,114.63,10.0,1238.0,,,,
CMD000071,2024-01-21,C01054,S005,En cours,1975.83,P00056,7,34.09,10.0,214.77,,,,
CMD000071,2024-01-21,C01054,S005,En cours,1975.83,P00120,12,30.83,10.0,332.96,,,,
CMD000071,2024-01-21,C01054,S005,En cours,1975.83,P00026,2,50.55,0.0,101.1,,,,
CMD000072,2025-06-02,C00488,S002,Livrée,1674.81,P00130,11,98.67,10.0,976.83,F000072,2025-06-03,2009.77,Payée
CMD000072,2025-06-02,C00488,S002,Livrée,1674.81,P00105,10,53.69,10.0,483.21,F000072,2025-06-03,2009.77,Payée
CMD000072,2025-06-02,C00488,S002,Livrée,1674.81,P00056,7,34.09,10.0,214.77,F000072,2025-06-03,2009.77,Payée
CMD000073,2025-11-09,C00258,S005,Livrée,2783.44,P00093,5,145.77,0.0,728.85,F000073,2025-11-10,3340.13,Payée
CMD000073,2025-11-09,C00258,S005,Livrée,2783.44,P00040,5,107.5,0.0,537.5,F000073,2025-11-10,3340.13,Payée
CMD000073,2025-11-09,C00258,S005,Livrée,2783.44,P00016,4,97.75,0.0,391.0,F000073,2025-11-10,3340.13,Payée
CMD000073,2025-11-09,C00258,S005,Livrée,2783.44,P00014,9,70.09,10.0,567.73,F000073,2025-11-10,3340.13,Payée
CMD000073,2025-11-09,C00258,S005,Livrée,2783.44,P00009,6,103.4,10.0,558.36,F000073,2025-11-10,3340.13,Payée
CMD000074,2026-01-06,C01182,S003,Livrée,1685.97,P00078,1,59.04,0.0,59.04,F000074,2026-01-07,2023.16,Payée
CMD000074,2026-01-06,C01182,S003,Livrée,1685.97,P00052,8,92.97,10.0,669.38,F000074,2026-01-07,2023.16,Payée
CMD000074,2026-01-06,C01182,S003,Livrée,1685.97,P00061,4,85.31,0.0,341.24,F000074,2026-01-07,2023.16,Payée
CMD000074,2026-01-06,C01182,S003,Livrée,1685.97,P00068,6,114.13,10.0,616.3,F000074,2026-01-07,2023.16,Payée
CMD000077,2025-02-25,C00603,S004,Annulée,1225.1,P00111,2,135.72,0.0,271.44,,,,
CMD000077,2025-02-25,C00603,S004,Annulée,1225.1,P00031,9,98.34,10.0,796.55,,,,
CMD000077,2025-02-25,C00603,S004,Annulée,1225.1,P00035,1,61.02,0.0,61.02,,,,
CMD000077,2025-02-25,C00603,S004,Annulée,1225.1,P00080,1,96.09,0.0,96.09,,,,
CMD000079,2024-06-17,C00649,S002,Livrée,2119.45,P00127,4,72.29,0.0,289.16,F000079,2024-06-18,2543.34,Payée
CMD000079,2024-06-17,C00649,S002,Livrée,2119.45,P00057,9,82.94,10.0,671.81,F000079,2024-06-18,2543.34,Payée
CMD000079,2024-06-17,C00649,S002,Livrée,2119.45,P00050,11,64.93,10.0,642.81,F000079,2024-06-18,2543.34,Payée
CMD000079,2024-06-17,C00649,S002,Livrée,2119.45,P00020,4,109.59,0.0,438.36,F000079,2024-06-18,2543.34,Payée
CMD000079,2024-06-17,C00649,S002,Livrée,2119.45,P00124,1,77.31,0.0,77.31,F000079,2024-06-18,2543.34,Payée
CMD000081,2024-07-14,C00794,S002,Annulée,3445.96,P00006,10,107.4,10.0,966.6,,,,
CMD000081,2024-07-14,C00794,S002,Annulée,3445.96,P00032,12,71.43,10.0,771.44,,,,
CMD000081,2024-07-14,C00794,S002,Annulée,3445.96,P00137,12,59.02,10.0,637.42,,,,
CMD000081,2024-07-14,C00794,S002,Annulée,3445.96,P00073,3,94.55,0.0,283.65,,,,
CMD000081,2024-07-14,C00794,S002,Annulée,3445.96,P00021,11,79.48,10.0,786.85,,,,
CMD000084,2024-09-02,C00227,S002,Annulée,1454.33,P00115,6,19.27,10.0,104.06,,,,
CMD000084,2024-09-02,C00227,S002,Annulée,1454.33,P00118,7,80.42,10.0,506.65,,,,
CMD000084,2024-09-02,C00227,S002,Annulée,1454.33,P00007,4,81.79,0.0,327.16,,,,
CMD000084,2024-09-02,C00227,S002,Annulée,1454.33,P00072,3,55.34,0.0,166.02,,,,
CMD000084,2024-09-02,C00227,S002,Annulée,1454.33,P00014,5,70.09,0.0,350.45,,,,
CMD000086,2025-04-15,C00662,S001,Livrée,277.26,P00146,2,138.63,0.0,277.26,F000086,2025-04-16,332.71,Payée
CMD000087,2024-04-29,C00544,S003,Annulée,621.0,P00076,12,57.5,10.0,621.0,,,,
CMD000088,2025-07-14,C00969,S001,Livrée,785.2,P00033,2,124.83,0.0,249.66,F000088,2025-07-15,942.24,Payée
CMD000088,2025-07-14,C00969,S001,Livrée,785.2,P00017,7,30.03,10.0,189.19,F000088,2025-07-15,942.24,Payée
CMD000088,2025-07-14,C00969,S001,Livrée,785.2,P00097,10,27.11,10.0,243.99,F000088,2025-07-15,942.24,Payée
CMD000088,2025-07-14,C00969,S001,Livrée,785.2,P00131,4,25.59,0.0,102.36,F000088,2025-07-15,942.24,Payée
CMD000092,2025-07-31,C00271,S001,Annulée,585.55,P00127,9,72.29,10.0,585.55,,,,
CMD000096,2024-11-04,C00342,S004,Annulée,1623.82,P00047,6,114.63,10.0,619.0,,,,
CMD000096,2024-11-04,C00342,S004,Annulée,1623.82,P00140,5,14.56,0.0,72.8,,,,
CMD000096,2024-11-04,C00342,S004,Annulée,1623.82,P00024,9,108.41,10.0,878.12,,,,
CMD000096,2024-11-04,C00342,S004,Annulée,1623.82,P00149,5,10.78,0.0,53.9,,,,
CMD000097,2025-02-03,C00099,S005,Annulée,1451.34,P00115,11,19.27,10.0,190.77,,,,
CMD000097,2025-02-03,C00099,S005,Annulée,1451.34,P00024,6,108.41,10.0,585.41,,,,
CMD000097,2025-02-03,C00099,S005,Annulée,1451.34,P00064,5,135.03,0.0,675.15,,,,
CMD000098,2024-07-01,C01110,S003,En cours,2111.09,P00102,7,92.69,10.0,583.95,,,,
CMD000098,2024-07-01,C01110,S003,En cours,2111.09,P00085,3,62.35,0.0,187.05,,,,
CMD000098,2024-07-01,C01110,S003,En cours,2111.09,P00040,7,107.5,10.0,677.25,,,,
CMD000098,2024-07-01,C01110,S003,En cours,2111.09,P00040,4,107.5,0.0,430.0,,,,
CMD000098,2024-07-01,C01110,S003,En cours,2111.09,P00071,7,36.96,10.0,232.85,,,,
CMD000099,2025-08-12,C01014,S004,Livrée,2206.19,P00094,12,140.11,10.0,1513.19,F000099,2025-08-13,2647.43,Payée
CMD000099,2025-08-12,C01014,S004,Livrée,2206.19,P00027,7,110.0,10.0,693.0,F000099,2025-08-13,2647.43,Payée
CMD000101,2025-06-10,C00408,S002,Annulée,322.95,P00012,9,39.87,10.0,322.95,,,,
CMD000103,2024-06-08,C00770,S001,Annulée,1318.41,P00130,10,98.67,10.0,888.03,,,,
CMD000103,2024-06-08,C00770,S001,Annulée,1318.41,P00089,10,47.82,10.0,430.38,,,,
CMD000104,2025-03-21,C00345,S003,Annulée,143.37,P00136,9,17.7,10.0,143.37,,,,
CMD000106,2025-03-01,C01132,S002,Annulée,893.17,P00007,12,81.79,10.0,883.33,,,,
CMD000106,2025-03-01,C01132,S002,Annulée,893.17,P00114,1,9.84,0.0,9.84,,,,
CMD000109,2024-11-28,C00539,S003,En cours,3428.66,P00149,1,10.78,0.0,10.78,,,,
CMD000109,2024-11-28,C00539,S003,En cours,3428.66,P00087,6,135.44,10.0,731.38,,,,
CMD000109,2024-11-28,C00539,S003,En cours,3428.66,P00015,10,133.92,10.0,1205.28,,,,
CMD000109,2024-11-28,C00539,S003,En cours,3428.66,P00141,6,146.29,10.0,789.97,,,,
CMD000109,2024-11-28,C00539,S003,En cours,3428.66,P00121,6,128.01,10.0,691.25,,,,
CMD000113,2025-02-08,C00724,S001,Livrée,2661.07,P00099,10,82.8,10.0,745.2,F000113,2025-02-09,3193.29,Payée
CMD000113,2025-02-08,C00724,S001,Livrée,2661.07,P00104,11,88.19,10.0,873.08,F000113,2025-02-09,3193.29,Payée
CMD000113,2025-02-08,C00724,S001,Livrée,2661.07,P00044,7,143.68,10.0,905.18,F000113,2025-02-09,3193.29,Payée
CMD000113,2025-02-08,C00724,S001,Livrée,2661.07,P00106,11,8.02,10.0,79.4,F000113,2025-02-09,3193.29,Payée
CMD000113,2025-02-08,C00724,S001,Livrée,2661.07,P00149,6,10.78,10.0,58.21,F000113,2025-02-09,3193.29,Payée
CMD000115,2025-02-22,C00393,S002,En cours,1187.71,P00008,1,110.09,0.0,110.09,,,,
CMD000115,2025-02-22,C00393,S002,En cours,1187.71,P00007,8,81.79,10.0,588.89,,,,
CMD000115,2025-02-22,C00393,S002,En cours,1187.71,P00069,12,9.46,10.0,102.17,,,,
CMD000115,2025-02-22,C00393,S002,En cours,1187.71,P00105,8,53.69,10.0,386.57,,,,
CMD000117,2025-10-27,C00325,S004,Annulée,1101.88,P00128,7,21.33,10.0,134.38,,,,
CMD000117,2025-10-27,C00325,S004,Annulée,1101.88,P00040,10,107.5,10.0,967.5,,,,
CMD000118,2024-09-09,C00727,S001,En cours,880.62,P00048,10,25.93,10.0,233.37,,,,
CMD000118,2024-09-09,C00727,S001,En cours,880.62,P00037,10,70.69,10.0,636.21,,,,
CMD000118,2024-09-09,C00727,S001,En cours,880.62,P00055,2,5.52,0.0,11.04,,,,
CMD000120,2024-03-19,C00699,S002,Livrée,1576.51,P00036,12,8.85,10.0,95.58,F000120,2024-03-20,1891.81,Payée
CMD000120,2024-03-19,C00699,S002,Livrée,1576.51,P00087,6,135.44,10.0,731.38,F000120,2024-03-20,1891.81,Payée
CMD000120,2024-03-19,C00699,S002,Livrée,1576.51,P00003,10,60.4,10.0,543.6,F000120,2024-03-20,1891.81,Payée
CMD000120,2024-03-19,C00699,S002,Livrée,1576.51,P00100,12,19.07,10.0,205.96,F000120,2024-03-20,1891.81,Payée
CMD000121,2024-01-17,C00399,S002,Livrée,745.74,P00076,9,57.5,10.0,465.75,F000121,2024-01-18,894.89,Payée
CMD000121,2024-01-17,C00399,S002,Livrée,745.74,P00055,6,5.52,10.0,29.81,F000121,2024-01-18,894.89,Payée
CMD000121,2024-01-17,C00399,S002,Livrée,745.74,P00100,6,19.07,10.0,102.98,F000121,2024-01-18,894.89,Payée
CMD000121,2024-01-17,C00399,S002,Livrée,745.74,P00132,12,13.63,10.0,147.2,F000121,2024-01-18,894.89,Payée
CMD000122,2024-12-20,C01149,S003,Annulée,1525.77,P00056,10,34.09,10.0,306.81,,,,
CMD000122,2024-12-20,C01149,S003,Annulée,1525.77,P00087,10,135.44,10.0,1218.96,,,,
CMD000125,2025-04-09,C00726,S004,En cours,3130.37,P00090,5,145.85,0.0,729.25,,,,
CMD000125,2025-04-09,C00726,S004,En cours,3130.37,P00064,10,135.03,10.0,1215.27,,,,
CMD000125,2025-04-09,C00726,S004,En cours,3130.37,P00051,6,124.18,10.0,670.57,,,,
CMD000125,2025-04-09,C00726,S004,En cours,3130.37,P00007,7,81.79,10.0,515.28,,,,
CMD000128,2024-12-12,C00219,S005,Annulée,690.42,P00020,7,109.59,10.0,690.42,,,,
CMD000130,2025-07-25,C00778,S004,Annulée,546.03,P00039,10,60.67,10.0,546.03,,,,
CMD000133,2024-06-27,C00924,S003,Annulée,1782.09,P00054,3,118.99,0.0,356.97,,,,
CMD000133,2024-06-27,C00924,S003,Annulée,1782.09,P00109,9,54.33,10.0,440.07,,,,
CMD000133,2024-06-27,C00924,S003,Annulée,1782.09,P00065,3,97.66,0.0,292.98,,,,
CMD000133,2024-06-27,C00924,S003,Annulée,1782.09,P00079,6,67.76,10.0,365.9,,,,
CMD000133,2024-06-27,C00924,S003,Annulée,1782.09,P00003,6,60.4,10.0,326.16,,,,
CMD000135,2025-03-06,C00683,S005,Annulée,181.56,P00059,3,60.52,0.0,181.56,,,,
CMD000136,2024-06-02,C00817,S005,Annulée,958.96,P00004,8,43.96,10.0,316.51,,,,
CMD000136,2024-06-02,C00817,S005,Annulée,958.96,P00062,9,64.77,10.0,524.64,,,,
CMD000136,2024-06-02,C00817,S005,Annulée,958.96,P00034,11,11.9,10.0,117.81,,,,
CMD000137,2025-08-05,C00944,S001,En cours,2801.62,P00064,2,135.03,0.0,270.06,,,,
CMD000137,2025-08-05,C00944,S001,En cours,2801.62,P00119,11,110.08,10.0,1089.79,,,,
CMD000137,2025-08-05,C00944,S001,En cours,2801.62,P00012,12,39.87,10.0,430.6,,,,
CMD000137,2025-08-05,C00944,S001,En cours,2801.62,P00028,5,40.29,0.0,201.45,,,,
CMD000137,2025-08-05,C00944,S001,En cours,2801.62,P00007,11,81.79,10.0,809.72,,,,
CMD000138,2024-01-30,C00857,S001,Annulée,1900.74,P00033,2,124.83,0.0,249.66,,,,
CMD000138,2024-01-30,C00857,S001,Annulée,1900.74,P00060,8,106.28,10.0,765.22,,,,
CMD000138,2024-01-30,C00857,S001,Annulée,1900.74,P00116,3,107.65,0.0,322.95,,,,
CMD000138,2024-01-30,C00857,S001,Annulée,1900.74,P00038,11,56.86,10.0,562.91,,,,
